player,team,position,salary
Jordan Montgomery,Texas Rangers,P,1250000
Ben Rortvedt,New York Mets,C,1250000
Dominic Smith,Atlanta Braves,1B,1250000
Brent Suter,Los Angeles Angels,P,1250000
Jack Suwinski,Los Angeles Dodgers,OF,1250000
Rowdy Tellez,Atlanta Braves,DH,1250000
Ildemaro Vargas,Arizona Diamondbacks,2B,1250000
Tyler Heineman,Los Angeles Angels,C,1237500
Justin Lawrence,Minnesota Twins,P,1225000
Tanner Banks,Philadelphia Phillies,P,1200000
Oswaldo Cabrera,New York Yankees,3B,1200000
Andy Ibanez,New York Mets,2B,1200000
Beau Brieske,Detroit Tigers,P,1157500
Jared Young,New York Mets,1B,1150000
Tyler Alexander,Texas Rangers,P,1125000
Cole Sands,Minnesota Twins,P,1100000
Angel Zerpa,Milwaukee Brewers,P,1095000
Paul Skenes,Pittsburgh Pirates,P,1085000
Huascar Brazoban,New York Mets,P,1050000
Ian Hamilton,Atlanta Braves,P,1050000
Cole Sulser,Tampa Bay Rays,P,1050000
Daniel Lynch,Kansas City Royals,P,1025000
Riley Adams,Washington Nationals,C,1000000
Nick Anderson,Athletics,P,1000000
Griffin Canning,San Diego Padres,P,1000000
Patrick Corbin,Toronto Blue Jays,P,1000000
Alexis Diaz,Texas Rangers,P,1000000
Matt Festa,Cleveland Guardians,P,1000000
Kyle Hart,San Diego Padres,P,1000000
Max Kranick,Washington Nationals,P,1000000
Alex Lange,Kansas City Royals,P,1000000
Sandy León,Atlanta Braves,C,1000000
Richard Lovelady,Washington Nationals,P,1000000
Trey Mancini,Los Angeles Angels,OF,1000000
Joe Mantiply,Toronto Blue Jays,P,1000000
Jorge Mateo,Atlanta Braves,SS,1000000
Eli Morgan,Kansas City Royals,P,1000000
Germán Márquez,San Diego Padres,P,1000000
Cal Quantrill,Texas Rangers,P,1000000
Trevor Richards,Chicago White Sox,P,1000000
Tayler Saucedo,Los Angeles Angels,P,1000000
Austin Slater,Tampa Bay Rays,OF,1000000
Trent Thornton,Chicago Cubs,P,1000000
Kyle Tucker,Los Angeles Dodgers,OF,1000000
Christian Vazquez,Houston Astros,C,1000000
Patrick Wisdom,Seattle Mariners,3B,1000000
Max Meyer,Miami Marlins,P,980000
Jake Bird,New York Yankees,P,975000
Hayden Wesneski,Houston Astros,P,975000
Jake Cousins,Los Angeles Dodgers,P,950000
Garrett Mitchell,Milwaukee Brewers,OF,950000
Ryan Vilade,Tampa Bay Rays,OF,950000
Richard Palacios,Tampa Bay Rays,2B,945000
Brennan Bernardino,Colorado Rockies,P,925000
Kevin Kelly,Tampa Bay Rays,P,925000
Garrett Stubbs,Philadelphia Phillies,C,925000
Danny Young,Atlanta Braves,P,925000
Eduard Bazardo,Seattle Mariners,P,923000
Bennett Sousa,Houston Astros,P,910000
Rob Zastryzny,Milwaukee Brewers,P,902500
Will Brennan,San Francisco Giants,OF,900000
Connor Brogdon,Cleveland Guardians,P,900000
Luis Campusano,San Diego Padres,C,900000
Rico Garcia,Baltimore Orioles,P,900000
Tyler Gilbert,Chicago White Sox,P,900000
Derek Hill,Philadelphia Phillies,OF,900000
